,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,results
562,2223880,2012,5. Matchday,2012-09-15,618,750,0,1,9.0,19.0,Christophe Galtier,Eric Hély,Stade Geoffroy-Guichard,25555.0,Said Ennjimi,,,AS Saint-Étienne,FC Sochaux-Montbéliard,0:1,domestic_league,-1
563,2223881,2012,5. Matchday,2012-09-15,417,3911,4,2,10.0,13.0,Claude Puel,Landry Chauvin,Stade du Ray,9148.0,Wilfried Bien,,,Olympique Gymnaste Club Nice Côte d'Azur,Stade brestois 29,4:2,domestic_league,1
564,2223882,2012,5. Matchday,2012-09-15,14171,595,3,0,15.0,12.0,Pascal Dupraz,Frédéric Hantz,Parc des Sports d’Annecy,8555.0,Clément Turpin,,,Thonon Évian Grand Genève FC,SC Bastia,3:0,domestic_league,1
565,2223883,2012,5. Matchday,2012-09-15,1095,1082,1,1,20.0,11.0,Jean-Marc Furlan,Rudi Garcia,Stade de l'Aube,11213.0,Jean-Charles Cailleux,,,ESTAC Troyes,Lille Olympique Sporting Club,1:1,domestic_league,0
566,2223884,2012,4. Matchday,2012-09-01,1158,1159,3,0,3.0,15.0,Christian Gourcuff,Jean Fernandez,Stade du Moustoir,14241.0,Antony Gautier,,,Football Club Lorient-Bretagne Sud,AS Nancy-Lorraine,3:0,domestic_league,1
567,2223885,2012,4. Matchday,2012-09-02,244,273,3,1,1.0,17.0,Élie Baup,Frédéric Antonetti,Orange Vélodrome,32798.0,Olivier Thual,,,Olympique de Marseille,Stade Rennais Football Club,3:1,domestic_league,1
568,2223886,2012,4. Matchday,2012-09-01,750,969,1,3,20.0,13.0,Eric Hély,René Girard,Stade Auguste-Bonal,9554.0,Benoît Bastien,,,FC Sochaux-Montbéliard,Montpellier HSC,1:3,domestic_league,-1
569,2223887,2012,4. Matchday,2012-09-01,1147,14171,2,0,12.0,18.0,Alex Dupont,Pablo Correa,Stade François-Coty,5874.0,Sébastien Moreira,,,AC Ajaccio,Thonon Évian Grand Genève FC,2:0,domestic_league,1
570,2223888,2012,4. Matchday,2012-09-02,40,417,1,1,4.0,16.0,Francis Gillot,Claude Puel,Matmut Atlantique,18052.0,Philippe Kalt,,,FC Girondins Bordeaux,Olympique Gymnaste Club Nice Côte d'Azur,1:1,domestic_league,0
571,2223889,2012,4. Matchday,2012-09-01,1041,1423,3,2,2.0,6.0,Rémi Garde,Daniel Sanchez,Stade de Gerland,25329.0,Fredy Fautrel,,,Olympique Lyonnais,Valenciennes FC,3:2,domestic_league,1
572,2223890,2012,4. Matchday,2012-09-02,1082,583,1,2,11.0,8.0,Rudi Garcia,Carlo Ancelotti,Decathlon Arena-Stade Pierre-Mauroy,32707.0,Ruddy Buquet,,,Lille Olympique Sporting Club,Paris Saint-Germain Football Club,1:2,domestic_league,-1
573,2223891,2012,18. Matchday,2012-12-14,273,1423,2,0,6.0,10.0,Frédéric Antonetti,Daniel Sanchez,Roazhon Park,13275.0,Laurent Duhamel,,,Stade Rennais Football Club,Valenciennes FC,2:0,domestic_league,1
574,2223892,2012,18. Matchday,2012-12-15,415,244,0,1,12.0,3.0,Alain Casanova,Élie Baup,Stadium Municipal,22101.0,Benoît Bastien,,,Toulouse Football Club,Olympique de Marseille,0:1,domestic_league,-1
575,2223893,2012,18. Matchday,2012-12-15,1421,1082,1,1,17.0,11.0,Hubert Fournier,Rudi Garcia,Stade Auguste-Delaune,14093.0,Alexandre Castro,,,Stade Reims,Lille Olympique Sporting Club,1:1,domestic_league,0
576,2223894,2012,18. Matchday,2012-12-16,583,1041,1,0,1.0,2.0,Carlo Ancelotti,Rémi Garde,Parc des Princes,44768.0,Antony Gautier,,,Paris Saint-Germain Football Club,Olympique Lyonnais,1:0,domestic_league,1
577,2223895,2012,18. Matchday,2012-12-15,750,3911,1,2,18.0,13.0,Eric Hély,Landry Chauvin,Stade Auguste-Bonal,11284.0,Benoît Millot,,,FC Sochaux-Montbéliard,Stade brestois 29,1:2,domestic_league,-1
578,2223896,2012,18. Matchday,2012-12-15,417,14171,3,2,5.0,15.0,Claude Puel,Pascal Dupraz,Stade du Ray,8200.0,Bartolomeu Varela,,,Olympique Gymnaste Club Nice Côte d'Azur,Thonon Évian Grand Genève FC,3:2,domestic_league,1
579,2223897,2012,18. Matchday,2012-12-15,969,595,4,0,9.0,16.0,René Girard,Frédéric Hantz,Stade de la Mosson,15229.0,Olivier Thual,,,Montpellier HSC,SC Bastia,4:0,domestic_league,1
580,2223898,2012,10. Matchday,2012-10-28,1158,1147,4,4,9.0,14.0,Christian Gourcuff,Alex Dupont,Stade du Moustoir,15191.0,Jean-Charles Cailleux,,,Football Club Lorient-Bretagne Sud,AC Ajaccio,4:4,domestic_league,0
581,2223899,2012,10. Matchday,2012-10-27,1159,583,0,1,20.0,1.0,Jean Fernandez,Carlo Ancelotti,Stade Marcel-Picot,18275.0,Alexandre Castro,,,AS Nancy-Lorraine,Paris Saint-Germain Football Club,0:1,domestic_league,-1
582,2223900,2012,10. Matchday,2012-10-26,618,273,2,0,5.0,12.0,Christophe Galtier,Frédéric Antonetti,Stade Geoffroy-Guichard,22918.0,Philippe Kalt,,,AS Saint-Étienne,Stade Rennais Football Club,2:0,domestic_league,1
583,2223901,2012,9. Matchday,2012-10-20,1423,1158,6,1,5.0,8.0,Daniel Sanchez,Christian Gourcuff,Stade du Hainaut,13003.0,Alexandre Castro,,,Valenciennes FC,Football Club Lorient-Bretagne Sud,6:1,domestic_league,1
584,2223902,2012,9. Matchday,2012-10-20,273,969,2,1,9.0,16.0,Frédéric Antonetti,René Girard,Roazhon Park,16087.0,Antony Gautier,,,Stade Rennais Football Club,Montpellier HSC,2:1,domestic_league,1
